1,It Cosmetics,CC+ Cream with SPF 50+,4.5,39.50,39.50
2,bareMinerals,Complexion Rescue Tinted Hydrating Gel Cream Broad Spectrum SPF 30,4.5,32.00,32.00
3,Murad,Hydro-Dynamic Ultimate Moisture,4.5,75.00,75.00
4,Mario Badescu,Facial Spray With Aloe| Herbs and Rosewater,4.5,7.00 , 12.00
5,It Cosmetics,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,4.0,39.50,39.50
6,It Cosmetics,Confidence In A Cream Hydrating Moisturizer,4.5,49.00,49.00
7,Clinique,Moisture Surge 72 Hour Auto-Replenishing Hydrator,4.5,21.00 , 78.00
8,Mario Badescu,Spritz. Mist. Glow. Set,4.5,21.00,21.00
9,Juice Beauty,STEM CELLULAR Anti-Wrinkle Overnight Cream,4.0,75.00,75.00
10,It Cosmetics,CC+ Cream Illumination SPF 50+,4.5,39.50,39.50
11,Clinique,Dramatically Different Moisturizing Lotion+,4.5,15.00 , 28.00
12,PEACH & LILY,Matcha Pudding Antioxidant Cream,4.5,40.00,40.00
13,Neutrogena,Hydro Boost Water Gel,4.5,23.99,23.99
14,bareMinerals,Butter Drench Restorative Rich Cream,4.5, 			28.50, 			28.50
15,Tula,24-7 Moisture Hydrating Day & Night Cream,4.5,52.00,52.00
16,Dermadoctor,Kakadu C High Potency Evening Oil,4.0,74.00,74.00
17,Kiehl's Since 1851,Ultra Facial Cream,4.5,18.00 , 53.00
18,Perricone MD,High Potency Classics: Face Finishing & Firming Moisturizer,4.5,69.00,69.00
19,Philosophy,Renewed Hope In A Jar,4.5,39.00 , 65.00
20,Peter Thomas Roth,Hungarian Thermal Water Mineral-Rich Moisturizer,4.0,58.00,58.00
21,Perricone MD,High Potency Classics Face Finishing & Firming Tinted Moisturizer SPF 30,4.0,69.00,69.00
22,Dermalogica,Dynamic Skin Recovery Broad Spectrum SPF 50,4.5,75.00,75.00
23,Peter Thomas Roth,Water Drench Hyaluronic Cloud Cream,4.5, 			52.00 , 99.00
24,Clinique,Moisture Surge Intense Skin Fortifying Hydrator,4.5,39.50 , 54.00
25,Juice Beauty,STEM CELLULAR Anti-Wrinkle Moisturizer,4.5,70.00,70.00
26,The Ordinary,100% Organic Cold Pressed Rose Hip Seed Oil,4.5,9.80,9.80
27,NARS,Pure Radiant Tinted Moisturizer,4.5,45.00,45.00
28,Erborian,Online Only BB Crème,4.5,39.00,39.00
29,First Aid Beauty,Ultra Repair Cream,4.5,34.00,34.00
30,Dermalogica,Intensive Moisture Balance,4.5,44.00 , 72.00
31,Clinique,Limited Edition Jumbo Dramatically Different Moisturizing Lotion+,4.5,39.00,39.00
32,Dermalogica,Age Smart Super Rich Repair,5.0,89.00,89.00
33,It Cosmetics,Confidence in a Cream Rosy Tone Moisturizer,4.5,49.00,49.00
34,It Cosmetics,Confidence in Your Beauty Sleep Night Cream,4.5,54.00,54.00
35,PEACH & LILY,Lazy Day's All-In-One Moisture Pad,4.5, 			27.30, 			27.30
36,Philosophy,Ultimate Miracle Worker SPF 30,4.5,75.00,75.00
37,The Better Skin Co.,Better Skin Mirakle Cream,4.0, 			8.50, 			8.50
38,CeraVe,PM Facial Moisturizing Lotion,4.5,15.99,15.99
39,StriVectin,SD Advanced Plus Intensive Moisturizing Concentrate For Wrinkles & Stretch Marks,4.5,79.00 , 139.00
40,Jack Black,Double Duty Face Moisturizer SPF 20,5.0,28.00 , 48.00
41,Mario Badescu,Facial Spray with Aloe| Chamomile and Lavender,4.0,7.00 , 12.00
42,Philosophy,Anti-Wrinkle Miracle Worker+ Line Correcting Moisturizer,4.5,64.00,64.00
43,Clinique,Clinique iD Dramatically Different Base,4.0,25.00,25.00
44,Juice Beauty,STEM CELLULAR CC Cream,4.0,39.00,39.00
45,It Cosmetics,Confidence In A Neck Cream Moisturizer,4.5,52.00,52.00
46,Juice Beauty,GREEN APPLE Age Defy Moisturizer,4.5,50.00,50.00
47,bareMinerals,Bare Haven Essential Moisturizing Soft Cream,4.5, 			26.25 , 41.25
48,It Cosmetics,Travel Size CC+ Cream with SPF 50+,4.0,15.50,15.50
49,Estée Lauder,Revitalizing Supreme+ Global Anti-Aging Cell Power Creme,4.0, 			55.00 , 65.00
50,Dermalogica,Antioxidant HydraMist,4.5,45.00,45.00
51,Mario Badescu,Hydro Moisturizer With Vitamin C,4.5,18.00,18.00
52,Erborian,Online Only CC Crème,4.5,44.00,44.00
53,Mad Hippie,Antioxidant Facial Oil,4.5,24.99,24.99
54,bareMinerals,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,4.5,27.00,27.00
55,Estée Lauder,DayWear Multi-Protection Anti-Oxidant 24H-Moisture Crème Broad Spectrum SPF 15,4.0, 			34.00, 			34.00
56,Benefit Cosmetics,Total Moisture Facial Cream,4.5,42.00,42.00
57,Philosophy,Purity Made Simple Moisturizer,4.0,25.00,25.00
58,Philosophy,Renewed Hope In A Jar SPF 30,4.5,39.00,39.00
59,First Aid Beauty,Ultra Repair Face Moisturizer,4.5,24.00,24.00
60,Perricone MD,Cold Plasma Sub-D,4.0,135.00,135.00
61,Clinique,Dramatically Different Moisturizing Cream,5.0,28.00,28.00
62,Skyn Iceland,Pure Cloud Cream,4.5,55.00,55.00
63,Dermalogica,Calm Water Gel,4.5,50.00,50.00
64,The Ordinary,100% Cold Pressed Virgin Marula Oil,4.5,9.90,9.90
65,Curél,Intensive Moisture Facial Cream,4.5,30.00,30.00
