1,It Cosmetics,CC+ Cream with SPF 50+,4.5,39.50,39.50
2,Murad,Hydro-Dynamic Ultimate Moisture,4.5,75.00,75.00
3,It Cosmetics,Confidence In A Gel Lotion Weightless Moisturizer,4.5,36.00,36.00
4,Mario Badescu,Facial Spray With Aloe| Herbs and Rosewater,4.5,7.00 , 12.00
5,It Cosmetics,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,4.0,39.50,39.50
6,It Cosmetics,Confidence In A Cream Hydrating Moisturizer,4.5,49.00,49.00
7,Clinique,Moisture Surge 72 Hour Auto-Replenishing Hydrator,4.5,21.00 , 78.00
8,Juice Beauty,STEM CELLULAR Anti-Wrinkle Overnight Cream,4.0,75.00,75.00
9,It Cosmetics,CC+ Cream Illumination SPF 50+,4.5,39.50,39.50
10,It Cosmetics,Bye Bye Redness Sensitive Skin Moisturizer,4.0,49.50,49.50
11,PEACH & LILY,Matcha Pudding Antioxidant Cream,4.5,40.00,40.00
12,Neutrogena,Hydro Boost Water Gel,4.5,23.99,23.99
13,Tula,24-7 Moisture Hydrating Day & Night Cream,4.5,52.00,52.00
14,Kiehl's Since 1851,Ultra Facial Cream,4.5,18.00 , 53.00
15,Perricone MD,High Potency Classics: Face Finishing & Firming Moisturizer,4.5,69.00,69.00
16,Philosophy,Renewed Hope In A Jar,4.5,39.00 , 65.00
17,Peter Thomas Roth,Hungarian Thermal Water Mineral-Rich Moisturizer,4.0,58.00,58.00
18,Dermalogica,Dynamic Skin Recovery Broad Spectrum SPF 50,4.5,75.00,75.00
19,Peter Thomas Roth,Water Drench Hyaluronic Cloud Cream,4.5, 			52.00 , 99.00
20,NARS,Pure Radiant Tinted Moisturizer,4.5,45.00,45.00
21,boscia,Cactus Water Moisturizer,4.5,38.00,38.00
22,Erborian,Online Only BB Crème,4.5,39.00,39.00
23,First Aid Beauty,Ultra Repair Cream,4.5,34.00,34.00
24,It Cosmetics,Confidence in a Cream Rosy Tone Moisturizer,4.5,49.00,49.00
25,It Cosmetics,Confidence in Your Beauty Sleep Night Cream,4.5,54.00,54.00
26,PEACH & LILY,Lazy Day's All-In-One Moisture Pad,4.5, 			27.30, 			27.30
27,The Better Skin Co.,Better Skin Mirakle Cream,4.0, 			8.50, 			8.50
28,Jack Black,Double Duty Face Moisturizer SPF 20,5.0,28.00 , 48.00
29,Mario Badescu,Facial Spray with Aloe| Chamomile and Lavender,4.0,7.00 , 12.00
30,Mario Badescu,Seaweed Night Cream,4.5,22.00,22.00
31,Philosophy,Anti-Wrinkle Miracle Worker+ Line Correcting Moisturizer,4.5,64.00,64.00
32,Clinique,Clinique iD Dramatically Different Base,4.0,25.00,25.00
33,It Cosmetics,Confidence In A Neck Cream Moisturizer,4.5,52.00,52.00
34,It Cosmetics,Travel Size CC+ Cream with SPF 50+,4.0,15.50,15.50
35,Estée Lauder,Revitalizing Supreme+ Global Anti-Aging Cell Power Creme,4.0, 			55.00 , 65.00
36,Erborian,Online Only CC Crème,4.5,44.00,44.00
37,Mad Hippie,Antioxidant Facial Oil,4.5,24.99,24.99
38,bareMinerals,Prime Time BB Primer-Cream Daily Defense Broad Spectrum SPF 30,4.5,27.00,27.00
39,Philosophy,Purity Made Simple Moisturizer,4.0,25.00,25.00
40,First Aid Beauty,Ultra Repair Face Moisturizer,4.5,24.00,24.00
41,Perricone MD,Cold Plasma Sub-D,4.0,135.00,135.00
42,Dermalogica,Calm Water Gel,4.5,50.00,50.00
43,Curél,Intensive Moisture Facial Cream,4.5,30.00,30.00
44,Clinique,Smart Night Custom-Repair Moisturizer For Dry Combination,4.5,58.00,58.00
45,boscia,Rosehip Omega Face Oil,4.5,42.00,42.00
